p3,p1_conf,p2,p3_conf,timestamp,retweet_count,truncated,img_num,text,name,p1,p2_dog,favorite_count,tweet_id,rating_numerator,jpg_url,p1_dog,retweeted,source,rating_denominator,p2_conf,p3_dog,dog_stages
Labrador Retriever,0.77593,Tibetan Mastiff,0.0724266,2015-11-16 01:22:45+00:00,232,False,1,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,None,Golden Retriever,True,496,666063827256086533,10,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,True,False,Twitter for iPhone,10,0.0937178,True,None
Pekinese,0.503672,Yorkshire Terrier,0.109454,2015-11-16 01:52:02+00:00,67,False,1,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,None,Gordon Setter,True,154,666071193221509120,9,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,True,False,Twitter for iPhone,10,0.174201,True,None
Ibizan Hound,0.260857,English Foxhound,0.0974705,2015-11-16 01:59:36+00:00,174,False,1,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,None,Walker Hound,True,335,666073100786774016,10,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,True,False,Twitter for iPhone,10,0.1753819999999999,True,None
French Bulldog,0.489814,Bull Mastiff,0.0489595,2015-11-16 02:38:37+00:00,47,False,1,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,None,Pug,True,121,666082916733198337,6,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,True,False,Twitter for iPhone,10,0.4047219999999999,True,None
Malinois,0.195217,German Shepherd,0.0756278,2015-11-16 03:22:39+00:00,79,False,1,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,None,Bloodhound,True,169,666094000022159362,9,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,True,False,Twitter for iPhone,10,0.0782598,True,None
Dandie Dinmont,0.58233,Shih-Tzu,0.0896883,2015-11-16 03:44:34+00:00,73,False,1,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,None,Lhasa,True,164,666099513787052032,8,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,True,False,Twitter for iPhone,10,0.166192,True,None
Borzoi,0.298617,Newfoundland,0.133649,2015-11-16 03:55:04+00:00,16,False,1,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,None,English Setter,True,81,666102155909144576,11,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,True,False,Twitter for iPhone,10,0.149842,True,None
Partridge,0.965932,Cock,5.20658e-05,2015-11-16 04:02:55+00:00,6871,False,1,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,None,Hen,False,14765,666104133288665088,1,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,False,False,Twitter for iPhone,10,0.0339194,False,None
Bookcase,0.086502,Desk,0.0794797,2015-11-16 14:57:41+00:00,37,False,1,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,None,Desktop Computer,False,108,666268910803644416,10,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,False,False,Twitter for iPhone,10,0.0855474,False,None
Basenji,0.176053,Toy Terrier,0.111152,2015-11-16 15:14:19+00:00,82,False,1,Can take selfies 11/10 https://t.co/ws2AMaNwPW,None,Italian Greyhound,True,184,666273097616637952,11,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,True,False,Twitter for iPhone,10,0.111884,True,None
Miniature Poodle,0.8575309999999999,Toy Poodle,0.0255806,2015-11-16 16:11:11+00:00,71,False,1,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,None,Maltese Dog,True,152,666287406224695296,1,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,True,False,Twitter for iPhone,2,0.0630638,True,None
Great Grey Owl,0.914671,Otter,0.0132072,2015-11-16 16:37:02+00:00,368,False,1,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,None,Three-Toed Sloth,False,522,666293911632134144,3,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,False,False,Twitter for iPhone,10,0.01525,False,None
Groenendael,0.4166689999999999,Newfoundland,0.102643,2015-11-16 19:31:45+00:00,96,False,1,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,None,Ox,True,204,666337882303524864,9,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,False,False,Twitter for iPhone,10,0.278407,True,None
Labrador Retriever,0.8587440000000001,Chesapeake Bay Retriever,0.0142408999999999,2015-11-16 20:01:42+00:00,146,False,1,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,None,Golden Retriever,True,307,666345417576210432,10,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,True,False,Twitter for iPhone,10,0.0547868,True,None
Eskimo Dog,0.3368739999999999,Siberian Husky,0.0934123999999999,2015-11-16 20:32:58+00:00,77,False,1,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,None,Malamute,True,229,666353288456101888,8,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,True,False,Twitter for iPhone,10,0.147655,True,None
Hamster,0.996496,Skunk,0.000460863,2015-11-16 21:10:36+00:00,595,False,1,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM,None,Guinea Pig,False,804,666362758909284353,6,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,False,False,Twitter for iPhone,10,0.00240245,False,None
Briard,0.326467,Afghan Hound,0.206803,2015-11-16 21:54:18+00:00,100,False,1,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,None,Soft-Coated Wheaten Terrier,True,194,666373753744588802,11,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,True,False,Twitter for iPhone,10,0.259551,True,None
Papillon,0.978108,Toy Terrier,0.00457681,2015-11-16 23:23:41+00:00,92,False,1,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,None,Chihuahua,True,172,666396247373291520,9,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,True,False,Twitter for iPhone,10,0.00939697,True,None
Flat-Coated Retriever,0.529139,Bloodhound,0.17381,2015-11-17 00:06:54+00:00,44,False,1,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h,None,Black-And-Tan Coonhound,True,113,666407126856765440,7,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,True,False,Twitter for iPhone,10,0.24422,True,None
Gar,0.40464,Barracouta,0.189945,2015-11-17 00:24:19+00:00,339,False,1,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t,None,Coho,False,459,666411507551481857,2,https://pbs.twimg.com/media/CT-RugiWIAELEaq.jpg,False,False,Twitter for iPhone,10,0.271485,False,None
Chihuahua,0.14968,Papillon,0.14286,2015-11-17 00:53:15+00:00,48,False,1,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn,Walter,Toy Terrier,True,129,666418789513326592,10,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,True,False,Twitter for iPhone,10,0.148258,True,None
Shih-Tzu,0.906777,Cocker Spaniel,0.00111687,2015-11-17 01:02:40+00:00,118,False,1,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R,None,Blenheim Spaniel,True,327,666421158376562688,12,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,True,False,Twitter for iPhone,10,0.0903464,True,None
Pomeranian,0.371361,Chow,0.241878,2015-11-17 01:30:57+00:00,90,False,1,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK,None,Pembroke,True,171,666428276349472768,7,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,True,False,Twitter for iPhone,10,0.249394,True,None
Dingo,0.505184,Irish Terrier,0.0620712,2015-11-17 01:40:41+00:00,204,False,1,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM,None,Llama,True,330,666430724426358785,6,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,False,False,Twitter for iPhone,10,0.104109,False,None
Power Drill,0.18413,Chain Saw,0.0367634,2015-11-17 02:00:15+00:00,54,False,1,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU",None,Chesapeake Bay Retriever,False,170,666435652385423360,10,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,True,False,Twitter for iPhone,10,0.0567753,False,None
Saluki,0.6718529999999999,Beagle,0.0440941999999999,2015-11-17 02:06:42+00:00,52,False,1,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10 https://t.co/7LtjBS0GPK,None,Chihuahua,True,131,666437273139982337,7,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,True,False,Twitter for iPhone,10,0.12468,True,None
Labrador Retriever,0.322084,Giant Schnauzer,0.166331,2015-11-17 02:46:43+00:00,23,False,1,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say https://t.co/kH60oka1HW,Scout,Curly-Coated Retriever,True,107,666447344410484738,9,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,True,False,Twitter for iPhone,10,0.287955,True,None
Great Pyrenees,0.278954,Labrador Retriever,0.171106,2015-11-17 03:16:00+00:00,223,False,1,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua,Kreggory,Dalmatian,True,545,666454714377183233,10,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,True,False,Twitter for iPhone,10,0.237612,True,None
West Highland White Terrier,0.0443334,Pembroke,0.0389056,2015-11-17 15:51:26+00:00,88,False,1,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ,Jimothy,Ibizan Hound,True,238,666644823164719104,9,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,True,False,Twitter for iPhone,10,0.0432093,True,None
Collie,0.4478029999999999,English Springer,0.139206,2015-11-17 16:09:56+00:00,608,False,1,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10 https://t.co/vXMKrJC81s,None,Border Collie,True,923,666649482315059201,4,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,True,False,Twitter for iPhone,10,0.170497,True,None
Bloodhound,0.975401,Beagle,0.00539404,2015-11-17 18:56:35+00:00,51,False,1,This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10 https://t.co/bg4TqvvkuF,Christoper,German Shepherd,True,196,666691418707132416,8,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,True,False,Twitter for iPhone,10,0.00868727,True,None
French Bulldog,0.887707,Chihuahua,0.0207563,2015-11-17 19:35:19+00:00,234,False,1,This is a golden Buckminsterfullerene named Johm. Drives trucks. Lumberjack (?). Enjoys wall. 8/10 would hug softly https://t.co/uQbZJM2DQB,None,Labrador Retriever,True,449,666701168228331520,8,https://pbs.twimg.com/media/CUCZLHlUAAAeAig.jpg,True,False,Twitter for iPhone,10,0.029307,True,None
Toy Poodle,0.546933,Cocker Spaniel,0.0959589,2015-11-17 22:06:57+00:00,71,False,1,This is Lugan. He is a Bohemian Rhapsody. Very confused dog. Thinks his name is Rocky. Not amused by the snows 10/10 https://t.co/tI3uFLDHBI,Lugan,Miniature Poodle,True,244,666739327293083650,10,https://pbs.twimg.com/media/CUC74aTWoAInZey.jpg,True,False,Twitter for iPhone,10,0.1652549999999999,True,None
Chihuahua,0.375057,Miniature Pinscher,0.0869506,2015-11-18 00:36:17+00:00,186,False,1,This is Josep. He is a Rye Manganese mix. Can drive w eyes closed. Very irresponsible. Menace on the roadways. 5/10 https://t.co/XNGeDwrtYH,Josep,Seat Belt,True,368,666776908487630848,5,https://pbs.twimg.com/media/CUDeDoWUYAAD-EM.jpg,False,False,Twitter for iPhone,10,0.167175,True,None
Vizsla,0.618316,Weimaraner,0.0859891,2015-11-18 00:55:42+00:00,211,False,1,This is a purebred Bacardi named Octaviath. Can shoot spaghetti out of mouth. 10/10 https://t.co/uEvsGLOFHa,None,Italian Greyhound,True,404,666781792255496192,10,https://pbs.twimg.com/media/CUDigRXXIAATI_H.jpg,True,False,Twitter for iPhone,10,0.151363,True,None
Acorn,0.999888,Slug,2.6258e-05,2015-11-18 01:12:41+00:00,521,False,1,Unfamiliar with this breed. Ears pointy af. Won't let go of seashell. Won't eat kibble. Not very fast. Bad dog 2/10 https://t.co/EIn5kElY1S,None,Snail,False,800,666786068205871104,2,https://pbs.twimg.com/media/CUDmZIkWcAAIPPe.jpg,False,False,Twitter for iPhone,10,5.51417e-05,False,None
Ibizan Hound,0.328792,Brittany Spaniel,0.0574615,2015-11-18 02:25:23+00:00,95,False,1,This is Jockson. He is a Pinnacle Sagittarius. Fancy bandana. Enjoys lightly sucking on hot dog in nature. 8/10 https://t.co/RdKbAOEpDK,Jockson,English Setter,True,250,666804364988780544,8,https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg,True,False,Twitter for iPhone,10,0.283545,True,None
Giant Schnauzer,0.496953,Standard Schnauzer,0.0737636999999999,2015-11-18 03:18:55+00:00,267,False,1,This is Jeph. He is a German Boston Shuttlecock. Enjoys couch. Lost body during French Revolution. True hero 9/10 https://t.co/8whlkYw3mO,Jeph,Miniature Schnauzer,True,540,666817836334096384,9,https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg,True,False,Twitter for iPhone,10,0.285276,True,None
West Highland White Terrier,0.359383,Teddy,0.1060069999999999,2015-11-18 03:54:28+00:00,105,False,1,12/10 simply brilliant pup https://t.co/V6ZzG45zzG,None,Maltese Dog,False,266,666826780179869698,12,https://pbs.twimg.com/media/CUELa0NUkAAscGC.jpg,True,False,Twitter for iPhone,10,0.148759,True,None
Teddy,0.448459,Toy Poodle,0.1101829999999999,2015-11-18 04:27:09+00:00,83,False,1,These are Peruvian Feldspars. Their names are Cupit and Prencer. Both resemble Rand Paul. Sick outfits 10/10 &amp; 10/10 https://t.co/ZnEMHBsAs1,None,Airedale,True,222,666835007768551424,10,https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg,True,False,Twitter for iPhone,10,0.12403,False,None
Common Iguana,0.442113,Armadillo,0.0432553,2015-11-18 04:35:11+00:00,584,False,1,My goodness. Very rare dog here. Large. Tail dangerous. Kinda fat. Only eats leaves. Doesn't come when called 3/10 https://t.co/xYGdBrMS9h,None,Triceratops,False,857,666837028449972224,3,https://pbs.twimg.com/media/CUEUva1WsAA2jPb.jpg,False,False,Twitter for iPhone,10,0.114071,False,None
Wig,0.589446,Chain Saw,0.0345097,2015-11-18 14:18:59+00:00,1040,False,1,This is a curly Ticonderoga named Pepe. No feet. Loves to jet ski. 11/10 would hug until forever https://t.co/cyDfaK8NBc,None,Swab,False,2679,666983947667116034,11,https://pbs.twimg.com/media/CUGaXDhW4AY9JUH.jpg,False,False,Twitter for iPhone,10,0.190142,False,None
Water Buffalo,0.507637,Rottweiler,0.0484246999999999,2015-11-18 15:07:24+00:00,102,False,1,This is Carll. He wants to be a donkey. But also a soccer star. Dreams big. 10/10 https://t.co/SVpNbhaIMk,Carll,Hay,True,258,666996132027977728,10,https://pbs.twimg.com/media/CUGlb6iUwAITEbW.jpg,False,False,Twitter for iPhone,10,0.0624899,False,None
Coyote,0.98723,African Hunting Dog,5.7350100000000005e-05,2015-11-18 16:12:51+00:00,237,False,1,This is Klevin. He laughs a lot. Very cool dog. 9/10 https://t.co/bATAbPNv0m,Klevin,Hyena,False,471,667012601033924608,9,https://pbs.twimg.com/media/CUG0bC0U8AAw2su.jpg,False,False,Twitter for iPhone,10,0.0126007999999999,False,None
Seat Belt,0.765266,Labrador Retriever,0.0106669,2015-11-18 18:17:59+00:00,54,False,1,12/10 gimme now https://t.co/QZAnwgnOMB,None,Golden Retriever,True,198,667044094246576128,12,https://pbs.twimg.com/media/CUHREBXXAAE6A9b.jpg,True,False,Twitter for iPhone,10,0.206694,False,None
Kelpie,0.825678,Vizsla,0.0229562,2015-11-18 19:29:52+00:00,57,False,1,This is Keet. He is a Floridian Amukamara. Absolutely epic propeller hat. Pristine tongue. Nice plaid. 10/10 https://t.co/tz1lpuvXLA,Keet,Chesapeake Bay Retriever,True,227,667062181243039745,10,https://pbs.twimg.com/media/CUHhgvHUAAA4aB0.jpg,True,False,Twitter for iPhone,10,0.090998,True,None
Space Heater,0.560001,Doormat,0.042568,2015-11-18 19:43:11+00:00,51,False,1,Here we have a Hufflepuff. Loves vest. Eyes wide af. Flaccid tail. Matches carpet. Always a little blurry. 8/10 https://t.co/7JdgVqDnvR,None,Jigsaw Puzzle,False,175,667065535570550784,8,https://pbs.twimg.com/media/CUHkkJpXIAA2w3n.jpg,False,False,Twitter for iPhone,10,0.1032589999999999,False,None
Brabancon Griffon,0.4836819999999999,Pug,0.0574954,2015-11-18 20:15:26+00:00,134,False,1,Here is Dave. He is actually just a skinny legged seal. Happy birthday Dave. 10/10 https://t.co/DPSamreuRq,Dave,Chihuahua,True,425,667073648344346624,10,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg,True,False,Twitter for iPhone,10,0.0924938999999999,True,None
Pomeranian,0.959514,Italian Greyhound,0.00264133,2015-11-18 21:23:57+00:00,132,False,1,This is Clybe. He is an Anemone Valdez. One ear works. Can look in 2 different directions at once. Tongue slip. 7/10 https://t.co/Ks0jZtdIrr,Clybe,Chihuahua,True,349,667090893657276420,7,https://pbs.twimg.com/media/CUH7oLuUsAELWib.jpg,True,False,Twitter for iPhone,10,0.00537015,True,None
Toy Poodle,0.741563,Chihuahua,0.0391250999999999,2015-11-18 23:18:48+00:00,135,False,1,This is Gabe. He is a southern Baklava. Gabe has always wanted to fit in with the other bananas. 10/10 fabulous https://t.co/3LZrJzg3BJ,Gabe,Pembroke,True,346,667119796878725120,10,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg,True,False,Twitter for iPhone,10,0.0578659,True,None
Toy Poodle,0.747713,Samoyed,0.00180397,2015-11-19 00:32:12+00:00,2387,False,1,Extremely intelligent dog here. Has learned to walk like human. Even has his own dog. Very impressive 10/10 https://t.co/0DvHAMdA4V,None,West Highland White Terrier,True,4851,667138269671505920,10,https://pbs.twimg.com/media/CUImtzEVAAAZNJo.jpg,True,False,Twitter for iPhone,10,0.2436289999999999,True,None
Miniature Poodle,0.535411,Pomeranian,0.06205,2015-11-19 01:27:25+00:00,18285,False,1,This is Pipsy. He is a fluffball. Enjoys traveling the sea &amp; getting tangled in leash. 12/10 I would kill for Pipsy https://t.co/h9R0EwKd9X,Pipsy,Toy Poodle,True,49720,667152164079423490,12,https://pbs.twimg.com/media/CUIzWk_UwAAfUNq.jpg,True,False,Twitter for iPhone,10,0.087544,True,None
Standard Poodle,0.471351,Miniature Poodle,0.0873853999999999,2015-11-19 01:59:39+00:00,66,False,1,This is Bradlay. He is a Ronaldinho Matsuyama mix. Can also mountain bike (wow). Loves that blue light lime. 11/10 https://t.co/DKhgkMx4N1,Bradlay,Golden Retriever,True,268,667160273090932737,11,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,True,False,Twitter for iPhone,10,0.0919921,True,None
Beagle,0.140173,Rottweiler,0.0818998,2015-11-19 02:20:46+00:00,1241,False,1,This is Churlie. AKA Fetty Woof. Lost eye saving a school bus full of toddlers from a tsunami. Great guy. 10/10 https://t.co/li2XYBVuAY,Churlie,Miniature Pinscher,True,2819,667165590075940865,10,https://pbs.twimg.com/media/CUI_kHBWsAAAef5.jpg,True,False,Twitter for iPhone,10,0.134094,True,None
Irish Water Spaniel,0.8412649999999999,Lakeland Terrier,0.0344017,2015-11-19 02:43:18+00:00,97,False,1,Say hello to Kenneth. He likes Reese's Puffs. 10/10 https://t.co/6RHNRsByOY,Kenneth,Giant Schnauzer,True,235,667171260800061440,10,https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg,True,False,Twitter for iPhone,10,0.0527442,True,None
Bluetick,0.266437,Chihuahua,0.0728063,2015-11-19 02:58:01+00:00,88,False,1,"This is Clarence. His face says he doesn't want to be a donkey, but his tail is super pumped about it. 9/10 https://t.co/fGDWgukcBs",Clarence,Toy Poodle,True,262,667174963120574464,9,https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg,True,False,Twitter for iPhone,10,0.243223,True,None
Toy Poodle,0.318981,Lakeland Terrier,0.106014,2015-11-19 03:02:47+00:00,484,False,1,These are strange dogs. All have toupees. Long neck for dogs. In a shed of sorts? Work in groups? 4/10 still petable https://t.co/PZxSarAfSN,None,Soft-Coated Wheaten Terrier,True,640,667176164155375616,4,https://pbs.twimg.com/media/CUJJLtWWsAE-go5.jpg,True,False,Twitter for iPhone,10,0.215218,True,None
Weimaraner,0.2592489999999999,Chesapeake Bay Retriever,0.112369,2015-11-19 03:10:02+00:00,58,False,1,This is a Dasani Kingfisher from Maine. His name is Daryl. Daryl doesn't like being swallowed by a panda. 8/10 https://t.co/jpaeu6LNmW,None,Vizsla,True,200,667177989038297088,8,https://pbs.twimg.com/media/CUJK18UWEAEg7AR.jpg,True,False,Twitter for iPhone,10,0.176293,True,None
Chesapeake Bay Retriever,0.949892,Irish Setter,0.00582141,2015-11-19 03:29:07+00:00,6618,False,1,This is Timison. He just told an awful joke but is still hanging on to the hope that you'll laugh with him. 10/10 https://t.co/s2yYuHabWl,Timison,Golden Retriever,True,15075,667182792070062081,10,https://pbs.twimg.com/media/CUJPNjOWsAAZRqP.jpg,True,False,Twitter for iPhone,10,0.0105638,True,None
Toilet Tissue,0.33583,Swab,0.140703,2015-11-19 03:52:34+00:00,449,False,1,Quite an advanced dog here. Impressively dressed for canine. Has weapon. About to take out trash. 10/10 good dog https://t.co/8uCMwS9CbV,None,Vacuum,False,784,667188689915760640,10,https://pbs.twimg.com/media/CUJUk2iWUAAVtOv.jpg,False,False,Twitter for iPhone,10,0.265278,False,None
Black-And-Tan Coonhound,0.28364,Miniature Pinscher,0.0955848,2015-11-19 04:05:59+00:00,115,False,1,*takes several long deep breaths* omg omg oMG OMG OMG OMGSJYBSNDUYWJO 12/10 https://t.co/QCugm5ydl6,None,Rottweiler,True,414,667192066997374976,12,https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg,True,False,Twitter for iPhone,10,0.148112,True,None
